datetime,open,high,low,close,Volume,VWAP
2021-06-01,1483.8,1497.3,1476.1,1486.5,8624,1485.6798353432282
2021-06-02,1487.0,1494.4,1469.1,1481.8,10075,1483.8417667493798
2021-06-03,1487.3,1507.4,1484.0,1507.2,9690,1496.0295459236327
2021-06-04,1504.8,1510.6,1496.0,1506.2,9558,1505.5823394015486
2021-06-07,1507.9,1509.0,1473.0,1482.0,8312,1490.3662656400386
2021-06-08,1489.4,1498.3,1412.0,1422.6,10031,1474.895085235769
2021-06-09,1439.0,1473.0,1426.2,1463.5,11244,1450.8175293489862
2021-06-10,1460.5,1469.6,1438.0,1451.9,11284,1458.8885678837291
2021-06-11,1459.0,1494.7,1456.6,1488.0,11099,1476.5058203441752
2021-06-14,1494.3,1509.2,1485.9,1496.4,10615,1499.0031841733396
2021-06-15,1498.3,1504.9,1486.6,1488.2,10225,1495.6846063569683
2021-06-16,1490.9,1494.0,1461.5,1467.3,11389,1478.7696549301959
2021-06-17,1461.6,1472.5,1452.1,1469.9,9989,1462.3657823605968
2021-06-18,1469.8,1491.6,1469.0,1485.0,9956,1482.3494877460828
2021-06-21,1475.6,1486.9,1471.3,1474.9,9655,1480.2603521491455
2021-06-22,1484.4,1500.5,1483.4,1492.8,7919,1492.2824346508396
2021-06-23,1492.6,1504.0,1484.4,1488.8,8561,1494.045789043336
2021-06-24,1498.0,1502.6,1478.2,1484.8,8569,1491.5235616758082
2021-06-25,1496.3,1501.8,1484.2,1501.5,8629,1491.9804496465408
2021-06-28,1509.3,1525.0,1507.5,1524.7,10082,1515.827811942075
2021-06-29,1524.4,1535.2,1522.5,1528.8,8876,1528.9200991437585
2021-06-30,1534.0,1542.9,1528.1,1530.0,9082,1536.7528077515965
2021-07-01,1532.2,1546.0,1525.7,1544.8,8982,1536.3291360498777
2021-07-02,1551.5,1557.9,1547.1,1555.7,9054,1553.641904130771
2021-07-05,1560.2,1564.6,1533.5,1564.6,7644,1550.361656200942
2021-07-06,1566.0,1569.3,1520.0,1520.0,8446,1561.2251124792801
2021-07-07,1514.0,1536.6,1494.0,1535.2,15690,1511.045321861058
2021-07-08,1531.9,1537.9,1501.7,1513.9,10452,1525.2969575200918
2021-07-09,1509.8,1529.8,1480.0,1497.2,9569,1515.5676246211724
2021-07-12,1503.5,1503.5,1402.4,1445.4,10922,1452.3132668009523
2021-07-13,1441.5,1458.8,1416.0,1444.2,9188,1444.2925119721376
2021-07-14,1448.9,1450.8,1395.3,1416.1,9319,1427.0145938405408
2021-07-15,1410.5,1440.1,1403.1,1433.0,8774,1416.9810690677
2021-07-16,1435.5,1448.3,1434.4,1438.1,8167,1441.2754622260316
2021-07-19,1413.1,1415.0,1368.0,1369.6,8827,1397.3533476832447
2021-07-20,1373.9,1409.0,1359.1,1408.9,8369,1379.3325725893178
2021-07-21,1411.5,1417.5,1395.2,1402.0,7372,1410.0615029842647
2021-07-22,1404.8,1436.7,1402.1,1427.8,8460,1419.5247044917257
2021-07-23,1425.0,1430.0,1408.0,1408.9,8291,1421.5769388493547
2021-07-26,1397.0,1416.8,1383.0,1408.1,8075,1396.7197027863776
2021-07-27,1413.0,1426.0,1405.5,1407.0,9824,1418.343536237785
2021-07-28,1405.0,1417.7,1400.5,1405.9,7715,1410.1141672067401
2021-07-29,1416.5,1429.0,1414.0,1428.8,8764,1420.6964856230031
2021-07-30,1430.5,1445.9,1427.3,1445.8,8336,1435.8803982725528
2021-08-02,1446.7,1458.0,1442.7,1445.6,8098,1449.5646332427762
2021-08-03,1449.2,1468.5,1447.2,1468.4,9036,1456.33086542718
2021-08-04,1472.9,1480.9,1462.1,1470.6,8193,1474.1972781642867
2021-08-05,1468.5,1490.0,1466.1,1489.9,8671,1474.9585976242647
2021-08-06,1487.6,1490.8,1472.0,1472.9,7934,1485.639664734056
2021-08-09,1471.4,1503.2,1470.6,1501.0,6888,1479.7158826945413
2021-08-10,1503.0,1506.6,1485.8,1496.8,8328,1497.2173270893372
2021-08-11,1495.9,1505.1,1487.3,1489.0,8688,1498.7466850828728
2021-08-12,1486.8,1492.9,1473.0,1473.4,7497,1485.6493930905697
2021-08-13,1479.3,1483.0,1464.1,1481.9,8681,1475.3939407902317
